房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
1栋B座610,45.46,144120.85,28.75,227886.40,6551734.00,在售,商业
1栋B座609,52.27,152992.32,33.06,241890.77,7996909.00,在售,商业
1栋B座608,27.50,152992.32,17.39,241937.26,4207289.00,在售,商业
1栋B座607,47.43,151953.32,30.00,240238.20,7207146.00,在售,商业
1栋B座606,54.98,148916.24,34.77,235473.54,8187415.00,在售,商业
1栋B座605,55.55,148916.23,35.14,235409.70,8272297.00,在售,商业
1栋B座604,55.74,148916.23,35.26,235410.97,8300591.00,在售,商业
1栋B座603,38.88,149076.08,24.59,235708.74,5796078.00,在售,商业
1栋B座602,41.24,154271.09,26.09,243853.58,6362140.00,在售,商业
1栋B座601,60.21,154271.10,38.08,243924.97,9288663.00,在售,商业
1栋B座514,44.83,143794.75,28.68,224767.05,6446319.00,在售,商业
1栋B座513,50.81,152746.17,32.51,238727.56,7761033.00,在售,商业
1栋B座512,32.68,154664.32,20.91,241723.09,5054430.00,在售,商业
1栋B座511,32.68,152666.24,20.91,238600.33,4989133.00,在售,商业
1栋B座510,50.76,152106.77,32.48,237713.66,7720940.00,在售,商业
1栋B座509,50.13,152666.24,32.07,238639.19,7653159.00,在售,商业
1栋B座805,26.31,152666.24,16.83,238660.07,4016649.00,在售,商业
1栋B座507,45.43,151627.22,29.07,236959.92,6888425.00,在售,商业
1栋B座506,52.72,148590.15,33.73,232246.45,7833673.00,在售,商业
1栋B座505,53.29,148590.14,34.10,232210.23,7918369.00,在售,商业
1栋B座504,53.52,148590.15,34.25,232191.09,7952545.00,在售,商业
1栋B座503,37.90,148750.00,24.25,232479.38,5637625.00,在售,商业
1栋B座502,40.77,153945.00,26.09,240564.89,6276338.00,在售,商业
1栋B座501,59.52,153945.01,38.08,240619.93,9162807.00,在售,商业
1栋B座414,44.83,143468.65,28.68,224257.32,6431700.00,在售,商业
1栋B座413,50.81,152420.07,32.51,238217.90,7744464.00,在售,商业
1栋B座412,32.68,154338.24,20.91,241213.48,5043774.00,在售,商业
1栋B座411,32.68,152340.14,20.91,238090.67,4978476.00,在售,商业
1栋B座410,50.77,151780.69,32.48,237250.80,7705906.00,在售,商业
1栋B座409,50.13,152340.15,32.07,238129.46,7636812.00,在售,商业
1栋B座408,26.31,152340.13,16.83,238150.26,4008069.00,在售,商业
1栋B座407,45.44,151301.14,29.07,236502.37,6875124.00,在售,商业
1栋B座406,52.73,148264.06,33.73,231780.72,7817964.00,在售,商业
1栋B座405,53.29,148264.06,34.10,231700.64,7900992.00,在售,商业
1栋B座404,53.48,148264.06,34.22,231711.33,7929162.00,在售,商业
1栋B座403,37.90,148423.90,24.25,231969.73,5625266.00,在售,商业
1栋B座402,40.77,153618.93,26.09,240055.34,6263044.00,在售,商业
1栋B座401,59.52,153618.91,38.08,240110.24,9143398.00,在售,商业
1栋B座314,44.84,143142.57,28.68,223797.52,6418513.00,在售,商业
1栋B座313,50.82,152093.99,32.51,237755.05,7729417.00,在售,商业
1栋B座312,32.69,154012.14,20.91,240777.47,5034657.00,在售,商业
1栋B座311,32.69,152014.07,20.91,237653.75,4969340.00,在售,商业
1栋B座310,50.78,151454.60,32.48,236787.71,7690865.00,在售,商业
1栋B座309,50.14,152014.06,32.07,237667.13,7621985.00,在售,商业
1栋B座308,26.32,152014.05,16.83,237730.83,4001010.00,在售,商业
1栋B座307,45.45,150975.07,29.07,236044.61,6861817.00,在售,商业
1栋B座306,52.65,147937.98,33.68,231262.91,7788935.00,在售,商业
1栋B座305,53.21,147937.98,34.04,231250.88,7871780.00,在售,商业
1栋B座304,53.40,147937.97,34.16,231261.35,7899888.00,在售,商业
1栋B座303,37.91,148097.83,24.25,231521.19,5614389.00,在售,商业
1栋B座302,40.78,153292.83,26.09,239604.52,6251282.00,在售,商业
1栋B座301,59.53,153292.84,38.08,239640.83,9125523.00,在售,商业
1栋裙楼127,50.59,189130.44,38.84,246346.78,9568109.00,在售,商铺
1栋裙楼126,38.58,188586.96,29.62,245634.19,7275685.00,在售,商铺
1栋裙楼125,38.58,188478.25,29.62,245492.60,7271491.00,在售,商铺
1栋裙楼124,45.96,188369.56,35.28,245392.99,8657465.00,在售,商铺
1栋裙楼123,49.55,188043.47,38.04,244940.95,9317554.00,在售,商铺
1栋裙楼122,48.94,187500.00,37.57,244244.07,9176250.00,在售,商铺
1栋裙楼121,40.68,188586.94,31.23,245652.16,7671717.00,在售,商铺
1栋裙楼120,94.73,188478.26,72.73,245490.80,17854546.00,在售,商铺
1栋裙楼119,44.96,189130.42,34.52,246329.77,8503304.00,在售,商铺
1栋裙楼118,36.15,184782.60,27.75,240716.79,6679891.00,在售,商铺
1栋裙楼117,41.63,184565.21,31.96,240408.32,7683450.00,在售,商铺
1栋裙楼116,44.58,184565.20,34.23,240371.51,8227917.00,在售,商铺
1栋裙楼115,42.15,184021.73,32.36,239694.56,7756516.00,在售,商铺
1栋裙楼114,38.47,184130.43,29.54,239793.43,7083498.00,在售,商铺
1栋裙楼113,38.96,184021.74,29.91,239702.00,7169487.00,在售,商铺
1栋裙楼112,74.94,182065.21,57.54,237121.42,13643967.00,在售,商铺
1栋裙楼111,59.94,182608.69,46.02,237843.65,10945565.00,在售,商铺
1栋裙楼110,46.02,183804.34,35.33,239419.07,8458676.00,在售,商铺
1栋裙楼109,45.39,183804.34,34.85,239393.94,8342879.00,在售,商铺
1栋裙楼108,39.25,183913.04,30.13,239581.38,7218587.00,在售,商铺
1栋裙楼107,41.32,184021.73,31.72,239715.57,7603778.00,在售,商铺
1栋裙楼106,43.32,184021.74,33.26,239681.96,7971822.00,在售,商铺
1栋裙楼105,42.55,184021.73,32.66,239746.63,7830125.00,在售,商铺
1栋裙楼104,49.47,184239.13,37.98,239976.56,9114310.00,在售,商铺
1栋裙楼103,45.54,184239.13,34.96,239995.70,8390250.00,在售,商铺
1栋裙楼102,61.57,185869.56,47.27,242098.34,11443989.00,在售,商铺
1栋裙楼101,52.93,186956.52,40.64,243494.31,9895609.00,在售,商铺
1栋A座2单元3602,162.04,102034.47,112.39,147109.76,16533666.00,在售,住宅
1栋A座2单元3601,162.08,102245.00,112.41,147423.44,16571870.00,在售,住宅
1栋A座2单元3502,162.04,101834.47,112.39,146821.40,16501258.00,在售,住宅
1栋A座2单元3501,162.08,102045.00,112.41,147135.07,16539454.00,在售,住宅
