房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
C406,88.83,42789.00,68.47,55512.58,3800947.00,在售,住宅
C405,73.21,41533.99,56.43,53884.52,3040704.00,在售,住宅
C404,124.81,44034.00,96.20,57129.77,5495884.00,在售,住宅
C403,73.96,43767.99,57.01,56780.93,3237081.00,在售,住宅
C402,73.96,43342.99,57.01,56229.57,3205648.00,在售,住宅
C401,98.93,42810.99,76.26,55537.52,4235292.00,在售,住宅
C506,88.83,42949.00,68.47,55720.16,3815160.00,在售,住宅
C505,73.21,41694.00,56.43,54092.11,3052418.00,在售,住宅
C504,124.81,44193.99,96.20,57337.34,5515853.00,在售,住宅
C503,73.96,43928.00,57.01,56988.51,3248915.00,在售,住宅
C502,73.96,43502.00,57.01,56435.85,3217408.00,在售,住宅
C501,98.93,42969.99,76.26,55743.79,4251022.00,在售,住宅
C606,88.83,43108.99,68.47,55927.73,3829372.00,在售,住宅
C605,73.21,41852.99,56.43,54298.38,3064058.00,在售,住宅
C604,124.81,44353.00,96.20,57543.63,5535698.00,在售,住宅
C603,73.96,44087.00,57.01,57194.79,3260675.00,在售,住宅
C602,73.96,43662.00,57.01,56643.43,3229242.00,在售,住宅
C601,98.93,43130.00,76.26,55951.36,4266851.00,在售,住宅
C706,88.83,43267.99,68.47,56134.01,3843496.00,在售,住宅
C705,73.21,42013.00,56.43,54505.97,3075772.00,在售,住宅
C704,124.81,44513.00,96.20,57751.22,5555668.00,在售,住宅
C703,73.96,44246.99,57.01,57402.35,3272508.00,在售,住宅
C702,73.96,43820.99,57.01,56849.69,3241001.00,在售,住宅
C701,98.93,43289.00,76.26,56157.63,4282581.00,在售,住宅
C806,88.83,43427.99,68.47,56341.59,3857709.00,在售,住宅
C805,73.21,42171.99,56.43,54712.24,3087412.00,在售,住宅
C804,124.81,44671.99,96.20,57957.50,5575512.00,在售,住宅
C803,73.96,44406.00,57.01,57608.63,3284268.00,在售,住宅
C802,73.96,43981.00,57.01,57057.27,3252835.00,在售,住宅
C801,98.93,43449.00,76.26,56365.19,4298410.00,在售,住宅
C906,88.83,43586.99,68.47,56547.87,3871833.00,在售,住宅
C905,73.21,42332.00,56.43,54919.82,3099126.00,在售,住宅
C904,124.81,44832.00,96.20,58165.09,5595482.00,在售,住宅
C903,73.96,44565.99,57.01,57816.19,3296101.00,在售,住宅
C902,73.96,44139.99,57.01,57263.53,3264594.00,在售,住宅
C901,98.93,43608.99,76.26,56572.75,4314238.00,在售,住宅
C1006,88.83,43746.99,68.47,56755.45,3886046.00,在售,住宅
C1005,73.21,42490.99,56.43,55126.10,3110766.00,在售,住宅
C1004,124.81,44991.00,96.20,58371.38,5615327.00,在售,住宅
C1003,73.96,44726.00,57.01,58023.76,3307935.00,在售,住宅
C1002,73.96,44300.00,57.01,57471.11,3276428.00,在售,住宅
C1001,98.93,43767.99,76.26,56779.01,4329968.00,在售,住宅
C1106,88.83,43960.00,68.47,57031.79,3904967.00,在售,住宅
C1105,73.21,42704.00,56.43,55402.44,3126360.00,在售,住宅
C1104,124.81,45203.99,96.20,58647.72,5641911.00,在售,住宅
C1103,73.96,44937.99,57.01,58298.78,3323614.00,在售,住宅
C1102,73.96,44512.99,57.01,57747.43,3292181.00,在售,住宅
C1101,98.93,43980.99,76.26,57055.33,4351040.00,在售,住宅
C1206,92.29,44172.00,71.72,56840.96,4076634.00,在售,住宅
C1205,72.62,42917.00,56.43,55230.07,3116633.00,在售,住宅
C1204,123.79,45416.99,96.20,58442.51,5622170.00,在售,住宅
C1203,73.36,45150.99,57.01,58099.92,3312277.00,在售,住宅
C1202,73.36,44725.99,57.01,57553.04,3281099.00,在售,住宅
C1201,98.13,44193.99,76.26,56868.04,4336757.00,在售,住宅
