房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状况,备注
3栋C座45F,94.69,40882.00,70.64,54801.00,3871117.00,在售,住宅
3栋C座45D,88.90,39382.00,66.33,52782.00,3501060.00,在售,住宅
3栋C座45C,88.90,39382.00,66.33,52782.00,3501060.00,在售,住宅
3栋C座45B,88.90,39982.00,66.33,53587.00,3554400.00,在售,住宅
3栋C座44F,94.69,41282.00,70.64,55337.00,3908993.00,在售,住宅
3栋C座44E,117.51,38992.00,87.67,52264.00,4581950.00,在售,住宅
3栋C座44D,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座44C,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座44B,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座44A,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座43D,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座43B,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座43A,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座42F,94.69,41282.00,70.64,55337.00,3908993.00,在售,住宅
3栋C座42D,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座42C,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座42A,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座41F,94.69,41282.00,70.64,55337.00,3908993.00,在售,住宅
3栋C座41A,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座40F,94.69,41282.00,70.64,55337.00,3908993.00,在售,住宅
3栋C座40D,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座40C,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座39C,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座37F,94.69,41282.00,70.64,55337.00,3908993.00,在售,住宅
3栋C座37E,117.51,38992.00,87.67,52264.00,4581950.00,在售,住宅
3栋C座37D,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座37C,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座37B,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座37A,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座36F,94.69,41282.00,70.64,55337.00,3908993.00,在售,住宅
3栋C座36E,117.51,38992.00,87.67,52264.00,4581950.00,在售,住宅
3栋C座36D,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座36C,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座36B,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座36A,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座35F,94.69,41282.00,70.64,55337.00,3908993.00,在售,住宅
3栋C座35E,117.51,38992.00,87.67,52264.00,4581950.00,在售,住宅
3栋C座35D,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座35C,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座35B,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座35A,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座34F,94.69,41282.00,70.64,55337.00,3908993.00,在售,住宅
3栋C座34E,117.51,38992.00,87.67,52264.00,4581950.00,在售,住宅
3栋C座34D,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座34C,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座34B,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座34A,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座33F,94.69,41282.00,70.64,55337.00,3908993.00,在售,住宅
3栋C座33E,117.51,38992.00,87.67,52264.00,4581950.00,在售,住宅
3栋C座33D,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座33C,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座33B,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座33A,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座32F,94.69,41282.00,70.64,55337.00,3908993.00,在售,住宅
3栋C座32E,117.51,38992.00,87.67,52264.00,4581950.00,在售,住宅
3栋C座32D,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座32C,88.90,39782.00,66.33,53319.00,3536620.00,在售,住宅
3栋C座32B,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座32A,88.90,40382.00,66.33,54123.00,3589960.00,在售,住宅
3栋C座30F,94.69,41232.00,70.64,55270.00,3904258.00,在售,住宅
3栋C座30E,117.51,38942.00,87.67,52197.00,4576074.00,在售,住宅
3栋C座30D,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座30C,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座30B,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座30A,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座29F,94.69,41232.00,70.64,55270.00,3904258.00,在售,住宅
3栋C座29E,117.51,38942.00,87.67,52197.00,4576074.00,在售,住宅
3栋C座29D,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座29C,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座29B,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座29A,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座27F,94.69,41232.00,70.64,55270.00,3904258.00,在售,住宅
3栋C座27D,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座27C,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座27B,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座27A,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座26F,94.69,41232.00,70.64,55270.00,3904258.00,在售,住宅
3栋C座26E,117.51,38942.00,87.67,52197.00,4576074.00,在售,住宅
3栋C座26D,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座26C,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座26B,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座26A,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座25F,94.69,41232.00,70.64,55270.00,3904258.00,在售,住宅
3栋C座25E,117.51,38942.00,87.67,52197.00,4576074.00,在售,住宅
3栋C座25D,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座25C,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座25B,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座25A,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座24F,94.69,41232.00,70.64,55270.00,3904258.00,在售,住宅
3栋C座24E,117.51,38942.00,87.67,52197.00,4576074.00,在售,住宅
3栋C座24D,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座24C,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座24B,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座24A,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座23F,94.69,41232.00,70.64,55270.00,3904258.00,在售,住宅
3栋C座23E,117.51,38942.00,87.67,52197.00,4576074.00,在售,住宅
3栋C座23D,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座23C,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座23B,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座23A,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座22F,94.69,41232.00,70.64,55270.00,3904258.00,在售,住宅
3栋C座22E,117.51,38942.00,87.67,52197.00,4576074.00,在售,住宅
3栋C座22D,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座22C,88.90,39732.00,66.33,53252.00,3532175.00,在售,住宅
3栋C座22B,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
3栋C座22A,88.90,40332.00,66.33,54056.00,3585515.00,在售,住宅
